Logging to.file
117 AIPU.WuHan
800626 AIPU.ChangSha
800621 AIPU.GuangZhou
61 AIPU.ChongQing
181 AIPU.SiChuan
193 AIPU.KunMing
800645 AoMen.AoMen_OVERSEA
190 bluewave.BeiJing
17 Cable.BeiJing
79 Cable.ShangHai
800637 Cable.JiangSu
189 Cable.GuangDong
259 Cable.ChongQing
20 Cable_TV.BeiJing
224 Cable_TV.TianJin
211 Cable_TV.ShangHai
212 Cable_TV.NanJing
260 Cable_TV.ShanDong
173 Cable_TV.ChongQing
218 Cable_TV.ShaanXi
800636 CITICNET.HuNan
95 CK.GuangDong_OTHER
25 CK.BeiJing
214 CK.TianJin
75 CK.HeBei
73 CK.ShenYang
220 CK.DaLian
243 CK.JiLinShi
263 CK.HaErBin
133 CK.ShangHai
134 CK.NanJing
217 CK.AnHui
208 CK.FuJian
47 CK.FuZhou
100 CK.XiaMen
239 CK.JiangXi
238 CK.NanChang
72 CK.ShanDong
266 CK.QingDao
242 CK.HeNan
264 CK.ZhengZhou
116 CK.WuHan
111 CK.ChangSha
131 CK.GuangZhou
127 CK.ShenZhen
258 CK.HaiNan
135 CK.ChongQing
204 CK.SiChuan
194 CK.ChengDu
104 CK.ShaanXi
267 CK.XiAn
240 CK.GanSu
241 CK.XinJiang
197 CM.GuangDong_OTHER
57 CM.BeiJing
152 CM.TianJin
160 CM.HeBei
237 CM.ShanXi
167 CM.NeiMengGu
169 CM.LiaoNing
170 CM.JiLinShi
171 CM.HeiLongJiang
151 CM.ShangHai
83 CM.JiangSu
58 CM.ZheJiang
161 CM.AnHui
198 CM.FuJian
44 CM.JiangXi
172 CM.ShanDong
59 CM.HeNan
162 CM.HuBei
800640 CM.WuHan
153 CM.HuNan
168 CM.GuangZhou
154 CM.GuangXi
155 CM.HaiNan
60 CM.ChongQing
156 CM.SiChuan
158 CM.GuiZhou
157 CM.YunNan
159 CM.XiZang
163 CM.ShaanXi
164 CM.GanSu
166 CM.QingHai
165 CM.NingXia
236 CM.XinJiang
66 CM.China
94 CNC.GuangDong_OTHER
12 CNC.BeiJing
48 CNC.TianJin
22 CNC.HeBei
49 CNC.ShanXi
11 CNC.NeiMengGu
110 CNC.LiaoNing
108 CNC.JiLinShi
